lon,lat,cap,kind,name,roof_m2,n_buildings,site_m2
85.22518533022617,25.676908828522045,386,college,Sukhdev Mukhlal Intermediate College,1352.2207906916558,2,892
85.22331889035598,25.68863369175932,135,school,Edupark,473.51092104303854,4,1030
85.25715472666468,25.68953205866262,414,school,"St johns Academy Hilalpur, Hajipur",1448.572466066907,2,8734
85.22307012765798,25.69040990369217,258,school,Govt. Primary School,901.8522651199157,1,435
85.21374812274077,25.691137849920576,261,school,Govt. School,915.0892545076831,4,4924
85.2124856,25.69178039999999,228,civic,,798.0320715171479,2,389
85.2274633734124,25.693102244122752,1167,school,"Indian Public School, Hajipur",4085.293708202596,8,3977
85.22514132109448,25.698606713321215,2170,college,Institute of Hotel Management Catering Technology and Applied Nutrition,7596.4068299949195,32,19788
85.34232281828936,25.73768667692324,337,school,Rajapakar High School,1178.1017640704508,7,9806
85.19960930108263,25.742185447309467,24,school,Minapur Rai High School,83.02450820753126,2,339
85.20315111576099,25.742598129475436,5,school,Astipur Urdu School,17.879592831068166,1,70
85.2033038334113,25.74272028662957,36,school,Astipur Elementary School Urdu,126.19197527428841,1,157
85.2002577117125,25.74287855443446,239,school,Astipur Middle School,837.5185337594029,4,514
85.20009770502912,25.742985504011067,207,school,Astipur Middle School Ground,724.1084087997997,3,758
85.25093809656757,25.74426123291054,117,college,Rai Virendra Singh Mahavidyalaya,410.7966080818626,3,8030
