lon,lat,cap,kind,name,roof_m2,n_buildings,site_m2
77.13601719627002,28.60599911292367,622,community_centre,Central Dining Hall,2176.6541464594343,2,1567
77.12927607794744,28.606950290228127,16,public,,57.104342300785206,1,119
77.1403571753995,28.608687473729926,2003,public,,7010.174245854792,3,5353
77.13903808590435,28.608821382866406,5149,college,Army College Of Medical Sciences,18020.720688758298,15,52144
77.13986413199244,28.612911720288373,360,community_centre,Railway Protection Force Officers' Mess,1260.6131690645773,6,4982
77.13945705188576,28.625358443031157,350,school,Govt. Boys Sr. Sec. School,1224.343872439506,1,2932
77.13960051204316,28.62596968953343,682,school,Sarvodya Bal Vidyalaya,2387.7784041445216,9,6207
77.1386095001168,28.626007753397744,980,school,,3429.232418718221,3,771
77.13871540827208,28.62850594233775,280,school,Gyan Mandir Public School,978.4709958687203,1,932
77.14030170837623,28.646817097173425,504,school,The Adarsh School,1764.7624543354173,3,6146
77.12738587806001,28.646686726932113,996,school,,3486.967261903421,12,12508
77.14183050387764,28.648331802470395,1112,school,S.D. Public School,3890.840457837684,7,9371
77.13265092851485,28.648209733739225,444,school,,1552.441963776109,6,4775
77.13097244477761,28.649273790365474,266,school,,931.8196511521671,5,3471
77.12870465677638,28.64993582939298,562,school,SKV sarvoday Kanya VIyalay,1967.0529654035163,5,8024
77.13551939999999,28.650765949999997,200,school,,701.0172924814977,4,2185
77.12564352120519,28.654525016107286,272,college,,953.477720169978,1,749
77.13997138965975,28.655696577106276,812,school,,2842.6386104868725,12,5625
77.13837747859115,28.661179919832545,1906,school,Kendriya Vidyala (Boys),6670.76952899493,18,21505
77.14099325000001,28.6615682,428,school,,1498.6151378556797,6,5373
77.13962393546764,28.661859187402698,839,school,,2937.5094527844035,4,5308
77.13766617899918,28.6625155141761,190,school,,664.1051201438559,1,2863
77.13990849999999,28.663107499999988,12,school,,43.577006681161855,1,4897
77.14137402318762,28.6652863994111,278,school,,972.9977683350455,3,4531
77.14084905074536,28.66626916432907,643,school,,2250.1719926189285,2,8569
77.12689906309988,28.672678853961322,2050,college,Shyama Prasad Mukherji College for Women,7174.8381749087785,15,38834
77.1404316431409,28.680039129721983,1791,school,,6269.976009554368,12,33510
77.14145748291216,28.681101944086265,17183,school,,60141.86806583835,5,33697
77.13619329018994,28.68192350180829,2603,school,,9111.654709698934,6,3607
77.13165016255009,28.686597114492834,275,school,,961.7851936137758,1,4158
77.14057601722253,28.688008256089834,526,school,Rising Star Academy,1839.2875488501422,3,6382
77.1392984315602,28.68864094999764,784,school,St. Colombo School,2743.0831032786027,6,8550
77.12607191353173,28.68817001060556,1125,school,,3936.315410845466,6,33570
77.13094056304125,28.690913668422045,694,school,,2428.5329427570136,3,16052
77.12582221226059,28.693391990173716,515,school,Vishal Bharti,1803.0309935746225,2,1522
77.12211912450546,28.694817058604542,573,school,,2005.7130811020866,6,7703
77.13752186575758,28.696718844835626,816,school,,2856.644685091203,5,35039
77.12368588902098,28.696044671489332,434,school,,1518.9760295090723,5,7259
77.1285712593172,28.697440900344603,1305,school,,4566.022421472766,11,28746
77.12603361769169,28.702446828157886,321,school,,1122.1640213132418,2,4273
77.13781596611565,28.7041464167379,2868,school,Maharaja Agrasen Model School,10039.465660518283,11,36494
77.12878647497548,28.703514859361917,308,school,,1076.6453469386713,1,3728
77.12374293007626,28.703903639427082,1783,school,Kendriya Vidyalaya,6241.728560455622,10,34501
77.13059482234996,28.707402119483298,808,school,Bal Bharti Public School,2828.5233120568846,5,18293
77.13824183422898,28.708825958546445,1141,school,,3995.115927769612,10,33440
77.13391916674806,28.7091948997053,1330,school,Lancer's Convent,4653.514157624455,3,17366
77.13237168499187,28.710270047020135,1140,school,CRPF Public School,3990.7644152924954,9,25521
77.1320792,28.7116249,243,community_centre,Aggarwal Bhawan,849.6326307354304,1,1246
77.12353035543273,28.711296311328592,314,school,Delhi International Public School,1100.3512522319566,4,5592
77.1364268263105,28.712341478708165,171,community_centre,MCD Community Centre,598.7238596436242,2,1644
77.13355229999999,28.712961800000002,377,school,B Block Govt School,1320.618679782613,2,8598
77.12469071701545,28.71260688312659,1450,school,N. K. Bagrodia Public School,5076.627045593019,5,19457
77.13526515000001,28.7140373,491,school,St Margaret Senior Secondary School,1717.3513803987657,1,7232
77.13744465541,28.715901904264175,1270,school,D Block Govt School,4443.527025322685,6,15999
77.11963875000002,28.714792250000002,486,school,Glorious Public School,1701.3962297149965,3,4869
77.13044296686428,28.717931398448428,887,school,Venkateshwara Global School,3103.5650035457957,2,10415
77.12967480068399,28.718437516834204,1275,school,VSPK International School,4461.363287336066,3,8889
77.12893348277358,28.71935117232562,389,community_centre,Bala Sahab Devras Community Centre,1362.9936690306406,2,4054
77.12361312396261,28.719017268967868,701,school,GD Goenka,2454.4978566267996,2,7302
77.12798077437151,28.72442830168881,1196,school,Sachdeva Public School,4187.187882484849,6,14621
77.13104870000001,28.72915795,415,school,,1453.190792992526,3,3587
77.13038644428997,28.729315800788857,179,school,,625.8004816573093,1,11554
77.12909463626276,28.729831395235085,495,school,St Angel's School,1732.6537486440704,4,6703
77.12936909274383,28.7330971339764,887,school,Vidya Bharti School,3104.8408508728558,5,37769
77.11902345700251,28.732664472919026,1764,college,Shaheed Sukhdev College of Business Studies,6175.65760022604,4,20157
77.1311096,28.734750150000004,364,school,,1275.5329301544994,2,8138
77.12471691876799,28.734769236428413,273,school,,955.0766528632643,1,840
77.1227613023902,28.737838001646438,212,school,,743.3787205215664,1,366
77.12247731965864,28.738132656345023,223,school,,779.3313616218226,1,568
77.13361718516548,28.74253626140952,424,school,,1483.5486095550932,2,7865
